,ID,Sex,Age,ModesOfTravel,TravelMotives,Margins,Periods,StagesPerPersonPerDayAverage_1,DistanceTravelledPerStageAverage_2
40367,40367,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2018,0.01,14.18
40368,40368,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2019,0.01,13.74
40370,40370,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,1999,0.04,23.0
40371,40371,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2000,0.03,22.79
40372,40372,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2001,0.03,22.07
40373,40373,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2002,0.03,22.08
40374,40374,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2003,0.03,22.02
40375,40375,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2004,0.03,21.57
40376,40376,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2005,0.03,21.87
40377,40377,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2006,0.03,21.62
40378,40378,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2007,0.03,21.56
40379,40379,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2008,0.02,21.16
40380,40380,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2009,0.02,21.27
40381,40381,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2010,0.02,20.85
40382,40382,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2011,0.02,20.98
40383,40383,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2012,0.02,20.76
40384,40384,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2013,0.02,20.76
40385,40385,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2014,0.01,20.83
40386,40386,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2015,0.01,21.14
40387,40387,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2016,0.02,20.72
40388,40388,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2017,0.02,20.56
40389,40389,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2018,0.02,20.72
40390,40390,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2019,0.02,20.56
40392,40392,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,1999,0.06,9.43
40393,40393,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2000,0.06,9.56
40394,40394,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2001,0.06,9.6
40395,40395,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2002,0.06,9.61
40396,40396,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2003,0.06,9.91
40397,40397,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2004,0.06,9.92
40398,40398,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2005,0.06,9.97
40399,40399,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2006,0.06,10.08
40400,40400,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2007,0.05,10.18
40401,40401,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2008,0.05,10.05
40402,40402,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2009,0.05,10.21
40403,40403,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2010,0.06,10.36
40404,40404,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2011,0.05,10.48
40405,40405,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2012,0.05,10.35
40406,40406,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2013,0.05,10.47
40407,40407,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2014,0.05,10.58
40408,40408,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2015,0.05,10.57
40409,40409,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2016,0.04,10.63
40410,40410,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2017,0.04,10.84
40411,40411,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2018,0.05,10.78
40412,40412,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2019,0.05,10.99
40413,40413,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2020,0.04,8.63
40414,40414,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,1999,0.04,7.82
40415,40415,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2000,0.04,8.11
40416,40416,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2001,0.04,8.11
40417,40417,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2002,0.04,8.2
40418,40418,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2003,0.04,8.54
40419,40419,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2004,0.04,8.62
40420,40420,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2005,0.04,8.7
40421,40421,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2006,0.04,8.82
40422,40422,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2007,0.04,8.93
40423,40423,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2008,0.04,8.82
40424,40424,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2009,0.04,8.95
40425,40425,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2010,0.05,9.13
40426,40426,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2011,0.04,9.27
40427,40427,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2012,0.04,9.1
40428,40428,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2013,0.04,9.29
40429,40429,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2014,0.04,9.36
40430,40430,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2015,0.04,9.31
40431,40431,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2016,0.04,9.32
40432,40432,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2017,0.04,9.54
40433,40433,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2018,0.04,9.32
40434,40434,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2019,0.04,9.55
40435,40435,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2020,0.03,7.34
40436,40436,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,1999,0.08,11.04
40437,40437,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2000,0.07,11.23
40438,40438,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2001,0.08,11.14
40439,40439,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2002,0.08,11.11
40440,40440,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2003,0.08,11.47
40441,40441,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2004,0.08,11.42
40442,40442,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2005,0.07,11.42
40443,40443,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2006,0.07,11.5
40444,40444,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2007,0.07,11.57
40445,40445,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2008,0.06,11.35
40446,40446,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2009,0.06,11.43
40447,40447,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2010,0.07,11.55
40448,40448,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2011,0.05,11.68
40449,40449,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2012,0.06,11.47
40450,40450,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2013,0.06,11.68
40451,40451,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2014,0.05,11.78
40452,40452,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2015,0.05,11.79
40453,40453,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2016,0.05,11.87
40454,40454,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2017,0.05,12.24
40455,40455,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2018,0.06,12.17
40456,40456,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2019,0.06,12.62
40457,40457,Male,12 to 17 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2020,0.06,10.05
40458,40458,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,1999,0.03,11.69
40459,40459,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2000,0.03,11.69
40460,40460,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2001,0.03,11.78
40461,40461,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2002,0.03,11.83
40462,40462,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2003,0.03,11.87
40463,40463,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2004,0.04,11.9
40464,40464,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2005,0.04,12.02
40465,40465,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2006,0.04,12.18
40466,40466,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2007,0.04,12.19
40467,40467,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2008,0.03,12.2
40468,40468,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2009,0.04,12.1
40469,40469,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2010,0.04,12.19
40470,40470,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2011,0.04,12.28
40471,40471,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2012,0.04,12.25
40472,40472,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2013,0.04,12.32
40473,40473,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2014,0.04,12.45
40474,40474,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2015,0.04,12.36
40475,40475,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2016,0.04,12.46
40476,40476,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2017,0.04,12.5
40477,40477,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2018,0.04,12.41
40478,40478,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2019,0.04,12.53
40479,40479,Male,12 to 17 years,Car as passenger,Attending education/courses,Value,2020,0.03,10.87
40480,40480,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,1999,0.02,9.32
40481,40481,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2000,0.02,9.49
40482,40482,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2001,0.02,9.57
40483,40483,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2002,0.02,9.79
40484,40484,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2003,0.02,10.01
40485,40485,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2004,0.02,9.99
40486,40486,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2005,0.03,10.19
40487,40487,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2006,0.03,10.49
40488,40488,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2007,0.03,10.54
40489,40489,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2008,0.03,10.66
40490,40490,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2009,0.03,10.6
40491,40491,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2010,0.04,10.84
40492,40492,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2011,0.03,10.97
40493,40493,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2012,0.03,10.87
40494,40494,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2013,0.04,10.93
40495,40495,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2014,0.03,11.12
40496,40496,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2015,0.04,10.95
40497,40497,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2016,0.04,11.05
40498,40498,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2017,0.04,11.04
40499,40499,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2018,0.04,10.85
40500,40500,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2019,0.03,10.79
40501,40501,Male,12 to 17 years,Car as passenger,Attending education/courses,Lower bound 95% confidence interval,2020,0.02,9.21
40502,40502,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,1999,0.05,14.29
40503,40503,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2000,0.04,14.2
40504,40504,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2001,0.04,14.09
40505,40505,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2002,0.05,14.06
40506,40506,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2003,0.04,14.1
40507,40507,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2004,0.05,13.86
40508,40508,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2005,0.05,13.9
40509,40509,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2006,0.05,14.06
40510,40510,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2007,0.05,13.92
40511,40511,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2008,0.04,13.88
40512,40512,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2009,0.05,13.58
40513,40513,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2010,0.05,13.67
40514,40514,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2011,0.05,13.75
40515,40515,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2012,0.05,13.58
40516,40516,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2013,0.05,13.65
40517,40517,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2014,0.05,13.89
40518,40518,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2015,0.05,13.72
40519,40519,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2016,0.05,13.98
40520,40520,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2017,0.05,14.11
40521,40521,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2018,0.05,14.11
40522,40522,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2019,0.05,14.31
40523,40523,Male,12 to 17 years,Car as passenger,Attending education/courses,Upper bound 95% confidence interval,2020,0.04,12.86
40524,40524,Male,12 to 17 years,Car as passenger,Other,Value,1999,0.29,19.85
40525,40525,Male,12 to 17 years,Car as passenger,Other,Value,2000,0.29,19.79
40526,40526,Male,12 to 17 years,Car as passenger,Other,Value,2001,0.29,19.88
40527,40527,Male,12 to 17 years,Car as passenger,Other,Value,2002,0.3,19.94
40528,40528,Male,12 to 17 years,Car as passenger,Other,Value,2003,0.3,20.14
40529,40529,Male,12 to 17 years,Car as passenger,Other,Value,2004,0.31,20.34
40530,40530,Male,12 to 17 years,Car as passenger,Other,Value,2005,0.3,20.53
40531,40531,Male,12 to 17 years,Car as passenger,Other,Value,2006,0.29,20.54
40532,40532,Male,12 to 17 years,Car as passenger,Other,Value,2007,0.29,20.54
40533,40533,Male,12 to 17 years,Car as passenger,Other,Value,2008,0.28,20.35
40534,40534,Male,12 to 17 years,Car as passenger,Other,Value,2009,0.3,20.2
40535,40535,Male,12 to 17 years,Car as passenger,Other,Value,2010,0.3,20.48
40536,40536,Male,12 to 17 years,Car as passenger,Other,Value,2011,0.28,20.62
40537,40537,Male,12 to 17 years,Car as passenger,Other,Value,2012,0.29,20.5
40538,40538,Male,12 to 17 years,Car as passenger,Other,Value,2013,0.3,20.59
40539,40539,Male,12 to 17 years,Car as passenger,Other,Value,2014,0.3,20.7
40540,40540,Male,12 to 17 years,Car as passenger,Other,Value,2015,0.29,20.73
40541,40541,Male,12 to 17 years,Car as passenger,Other,Value,2016,0.3,20.52
40542,40542,Male,12 to 17 years,Car as passenger,Other,Value,2017,0.3,20.51
40543,40543,Male,12 to 17 years,Car as passenger,Other,Value,2018,0.31,20.7
40544,40544,Male,12 to 17 years,Car as passenger,Other,Value,2019,0.31,20.8
40545,40545,Male,12 to 17 years,Car as passenger,Other,Value,2020,0.23,18.98
40546,40546,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,1999,0.24,17.46
40547,40547,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2000,0.24,17.49
40548,40548,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2001,0.24,17.79
40549,40549,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2002,0.26,17.88
40550,40550,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2003,0.26,18.16
40551,40551,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2004,0.27,18.41
40552,40552,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2005,0.26,18.57
40553,40553,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2006,0.26,18.6
40554,40554,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2007,0.26,18.72
40555,40555,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2008,0.25,18.74
40556,40556,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2009,0.27,18.55
40557,40557,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2010,0.28,18.97
40558,40558,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2011,0.26,19.26
40559,40559,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2012,0.27,19.21
40560,40560,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2013,0.28,19.29
40561,40561,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2014,0.28,19.32
40562,40562,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2015,0.27,19.26
40563,40563,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2016,0.28,19.12
40564,40564,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2017,0.28,18.96
40565,40565,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2018,0.29,19.04
40566,40566,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2019,0.29,19.04
40567,40567,Male,12 to 17 years,Car as passenger,Other,Lower bound 95% confidence interval,2020,0.2,17.05
40568,40568,Male,12 to 17 years,Car as passenger,Other,Upper bound 95% confidence interval,1999,0.34,22.26
40569,40569,Male,12 to 17 years,Car as passenger,Other,Upper bound 95% confidence interval,2000,0.33,22.03
40570,40570,Male,12 to 17 years,Car as passenger,Other,Upper bound 95% confidence interval,2001,0.33,22.19
40571,40571,Male,12 to 17 years,Car as passenger,Other,Upper bound 95% confidence interval,2002,0.34,22.13
